spat_temp_id,spat_temp_id_str,fishnet_id,temp_day_id
670,18_7,18,7
671,18_8,18,8
672,18_9,18,9
673,18_10,18,10
674,18_11,18,11
675,18_12,18,12
676,18_13,18,13
677,18_14,18,14
678,18_15,18,15
679,18_16,18,16
680,18_17,18,17
681,18_18,18,18
682,18_19,18,19
683,18_20,18,20
684,18_21,18,21
685,18_22,18,22
686,18_23,18,23
687,18_24,18,24
688,18_25,18,25
689,18_26,18,26
690,18_27,18,27
691,18_28,18,28
692,18_29,18,29
693,18_30,18,30
694,18_31,18,31
695,18_32,18,32
696,18_33,18,33
697,18_34,18,34
698,18_35,18,35
699,18_36,18,36
700,18_37,18,37
701,18_38,18,38
702,18_39,18,39
703,19_1,19,1
704,19_2,19,2
705,19_3,19,3
706,19_4,19,4
707,19_5,19,5
708,19_6,19,6
709,19_7,19,7
710,19_8,19,8
711,19_9,19,9
712,19_10,19,10
713,19_11,19,11
714,19_12,19,12
715,19_13,19,13
716,19_14,19,14
717,19_15,19,15
718,19_16,19,16
719,19_17,19,17
720,19_18,19,18
721,19_19,19,19
722,19_20,19,20
723,19_21,19,21
724,19_22,19,22
725,19_23,19,23
726,19_24,19,24
727,19_25,19,25
728,19_26,19,26
729,19_27,19,27
730,19_28,19,28
731,19_29,19,29
732,19_30,19,30
733,19_31,19,31
734,19_32,19,32
735,19_33,19,33
736,19_34,19,34
737,19_35,19,35
738,19_36,19,36
739,19_37,19,37
740,19_38,19,38
741,19_39,19,39
742,20_1,20,1
743,20_2,20,2
744,20_3,20,3
745,20_4,20,4
746,20_5,20,5
747,20_6,20,6
748,20_7,20,7
749,20_8,20,8
750,20_9,20,9
751,20_10,20,10
752,20_11,20,11
753,20_12,20,12
754,20_13,20,13
755,20_14,20,14
756,20_15,20,15
757,20_16,20,16
758,20_17,20,17
759,20_18,20,18
760,20_19,20,19
761,20_20,20,20
762,20_21,20,21
763,20_22,20,22
764,20_23,20,23
765,20_24,20,24
766,20_25,20,25
767,20_26,20,26
768,20_27,20,27
769,20_28,20,28
770,20_29,20,29
771,20_30,20,30
772,20_31,20,31
773,20_32,20,32
774,20_33,20,33
775,20_34,20,34
776,20_35,20,35
777,20_36,20,36
778,20_37,20,37
779,20_38,20,38
780,20_39,20,39
781,21_1,21,1
782,21_2,21,2
783,21_3,21,3
784,21_4,21,4
785,21_5,21,5
786,21_6,21,6
787,21_7,21,7
788,21_8,21,8
789,21_9,21,9
790,21_10,21,10
791,21_11,21,11
792,21_12,21,12
793,21_13,21,13
794,21_14,21,14
795,21_15,21,15
796,21_16,21,16
797,21_17,21,17
798,21_18,21,18
799,21_19,21,19
800,21_20,21,20
801,21_21,21,21
802,21_22,21,22
803,21_23,21,23
804,21_24,21,24
805,21_25,21,25
806,21_26,21,26
807,21_27,21,27
808,21_28,21,28
809,21_29,21,29
810,21_30,21,30
811,21_31,21,31
812,21_32,21,32
813,21_33,21,33
814,21_34,21,34
815,21_35,21,35
816,21_36,21,36
817,21_37,21,37
818,21_38,21,38
819,21_39,21,39
820,22_1,22,1
821,22_2,22,2
822,22_3,22,3
823,22_4,22,4
824,22_5,22,5
825,22_6,22,6
826,22_7,22,7
827,22_8,22,8
828,22_9,22,9
829,22_10,22,10
830,22_11,22,11
831,22_12,22,12
832,22_13,22,13
833,22_14,22,14
834,22_15,22,15
835,22_16,22,16
836,22_17,22,17
837,22_18,22,18
838,22_19,22,19
839,22_20,22,20
840,22_21,22,21
841,22_22,22,22
842,22_23,22,23
843,22_24,22,24
844,22_25,22,25
845,22_26,22,26
846,22_27,22,27
847,22_28,22,28
848,22_29,22,29
849,22_30,22,30
850,22_31,22,31
851,22_32,22,32
852,22_33,22,33
853,22_34,22,34
854,22_35,22,35
855,22_36,22,36
856,22_37,22,37
857,22_38,22,38
858,22_39,22,39
859,23_1,23,1
860,23_2,23,2
861,23_3,23,3
862,23_4,23,4
863,23_5,23,5
864,23_6,23,6
865,23_7,23,7
866,23_8,23,8
867,23_9,23,9
868,23_10,23,10
869,23_11,23,11
870,23_12,23,12
871,23_13,23,13
872,23_14,23,14
873,23_15,23,15
874,23_16,23,16
875,23_17,23,17
876,23_18,23,18
877,23_19,23,19
878,23_20,23,20
879,23_21,23,21
880,23_22,23,22
881,23_23,23,23
882,23_24,23,24
883,23_25,23,25
884,23_26,23,26
885,23_27,23,27
886,23_28,23,28
887,23_29,23,29
888,23_30,23,30
889,23_31,23,31
890,23_32,23,32
